zipcode,agi_estimate
1505,80537.97468354431
1506,56790.12345679013
1507,66218.35443037975
1510,52754.23728813559
1515,59151.78571428572
1516,66388.88888888889
1518,71052.63157894737
1519,82031.25
1520,76145.16129032258
1521,58574.38016528926
1522,69166.66666666667
1523,72775.08090614887
1524,57706.489675516226
1525,45108.69565217391
1527,60178.57142857143
1529,60141.50943396227
1531,59438.77551020408
1532,81385.35031847133
1534,67403.53697749197
1535,54057.01754385965
1536,75998.62258953167
1537,53556.91056910569
1540,56983.36252189142
1541,81075.41899441341
1542,57543.10344827586
1543,67416.06714628298
1545,80614.52513966481
1550,41974.002418379685
1560,69545.45454545454
1561,49264.705882352944
1562,53706.89655172414
1564,74271.84466019417
1566,71004.39882697948
1568,81380.20833333333
1569,64562.228654124454
1570,48671.42857142857
1571,56547.619047619046
1581,85064.10256410256
1583,65683.02387267904
1585,57857.142857142855
1588,57619.521912350596
1590,77302.63157894737
1602,54262.36749116608
1603,39978.9029535865
1604,45184.82490272373
1605,41885.9649122807
1606,53122.05466540999
1607,40363.961813842485
1608,35199.386503067486
1609,55611.55913978495
1610,30341.28745837958
1611,48093.220338983054
1612,72023.80952380953
1701,74219.21475312315
1702,49389.0977443609
1718,84375.0
1719,88352.27272727272
1720,95944.65648854962
1721,78585.48931383577
1730,92934.78260869565
1731,58125.0
1740,103037.84860557769
1741,113197.21115537849
1742,106300.22962112514
1745,75000.0
1746,85339.9433427762
1747,70343.13725490196
1748,100951.7766497462
1749,63322.84607938045
1752,61107.6885165106
1754,68670.01828153565
1756,77130.22508038585
1757,59942.18640504555
1760,83316.8456755229
1770,113485.22167487684
1772,100204.91803278688
1773,110329.86111111111
1775,94225.1461988304
1776,112316.62591687041
1778,107941.17647058824
1801,62720.00926354794
1803,75329.69103240392
1810,97176.92307692308
1821,65095.05129752565
1824,76944.02704733283
1826,59587.81362007168
1827,84125.76687116564
1830,51309.52380952381
1832,50609.00082576383
1833,77118.13842482101
1834,70095.87020648968
1835,58791.39072847682
1840,27287.23404255319
1841,29044.732441471573
1843,36538.46153846154
1844,53939.90929705215
1845,81262.95784381479
1850,39748.677248677246
1851,42576.38446849141
1852,47108.59329017069
1854,42994.26301853486
1860,65101.15606936416
1862,65519.80198019802
1863,66589.02691511388
1864,82226.81067344346
1867,84682.82111899133
1876,67582.66993263931
1879,70407.3482428115
1880,74142.85714285714
1886,91984.4020797227
1887,71911.03789126854
1890,107877.54114230396
1901,35555.555555555555
1902,37901.74471992654
1904,55072.11538461538
1905,40995.260663507106
1906,59795.02688172043
1907,82033.33333333333
1908,78350.51546391753
1913,62471.395881006865
1915,65985.75712143928
1921,101360.103626943
1922,78604.2944785276
1923,66615.43715846994
1929,74166.66666666667
1930,58541.39290407359
1938,72006.08930987821
1940,90924.65753424658
1944,95394.73684210527
1945,92307.69230769231
1949,80965.90909090909
1950,79652.704135737
1951,80263.15789473684
1952,56316.631130063965
1960,58036.98435277383
1966,67838.54166666667
1969,74920.88607594937
1970,55005.61797752809
1982,86347.26224783862
1983,91321.65605095541
1984,94467.2131147541
1985,91311.65919282511
2019,62843.64261168385
2021,80573.31628303495
2025,103815.78947368421
2026,71974.88584474886
2030,118593.1899641577
2032,81833.33333333333
2035,73515.11879049677
2038,77227.10163111669
2043,101521.64111812443
2045,65420.35398230088
2047,60472.97297297297
2048,72532.76003276004
2050,73021.95526097763
2052,98285.95317725753
2053,77239.663093415
2054,70833.33333333333
2056,91804.97925311203
2061,93901.8691588785
2062,63164.556962025315
2066,85350.92491838956
2067,96145.70737605804
2071,76275.51020408163
2072,58698.928332217016
2081,80760.42726347914
2090,97924.96679946879
2093,80382.24956063268
2108,110235.84905660378
2109,103736.16236162362
2110,117653.50877192983
2111,76864.6408839779
2113,68975.22522522522
2114,87701.34228187919
2115,59871.794871794875
2116,101956.72191528545
2118,75108.2251082251
2119,36451.4348785872
2120,35244.36090225564
2121,32215.288611544463
2122,44562.60032102729
2124,42488.19362455726
2125,43586.196854979615
2126,38522.91325695581
2127,72156.70247547874
2128,43256.98187163156
2129,85623.12312312312
2130,64832.18163869694
2131,55633.04721030043
2132,74306.54338549076
2134,43668.22429906542
2135,51122.625215889464
2136,46856.40886965927
2138,81629.41961307538
2139,66940.87747458534
2140,72674.69310670444
2141,66532.25806451614
2142,90162.72189349112
2143,60576.92307692308
2144,66698.08087731323
2145,51664.94133885438
2148,48673.1843575419
2149,42560.45678459472
2150,39088.39779005525
2151,46170.309653916214
2152,61513.859275053306
2155,62790.60381013885
2163,78409.09090909091
2169,57006.57894736842
2170,52383.17757009346
2171,59502.92397660819
2176,78395.06172839506
2180,69176.25308134758
2184,68110.13443640125
2186,88531.32161955691
2188,60900.783289817235
2189,57179.48717948718
2190,65847.50265674814
2191,61515.317286652076
2199,109274.19354838709
2210,110772.72727272728
2215,59726.75367047308
2301,40463.20416802345
2302,43530.444964871196
2322,57644.628099173555
2324,64768.942547876766
2330,57974.91039426524
2332,93857.14285714286
2333,61585.365853658535
2338,61025.79852579853
2339,80497.19887955183
2341,63728.73345935728
2343,55701.376936316694
2346,57040.22988505747
2347,68065.21739130435
2351,61957.76255707763
2356,79920.63492063493
2359,68964.08839779005
2360,65317.26768377254
2364,68507.46268656716
2366,56250.0
2367,67030.20134228189
2368,50850.19673974143
2370,55034.53772582359
2375,69019.69981238274
2379,63100.0
2382,57775.5905511811
2420,110032.65602322207
2421,112934.24317617866
2445,90644.01622718053
2446,85120.73863636363
2451,68935.3813559322
2452,70210.28037383177
2453,59139.23182441701
2458,84643.97496087637
